city,country,state
Roermond,Netherlands,Limburg
Bowie,United States,Maryland
Jackson,United States,New Jersey
Mizuho,Japan,Gifu
Zempoala,Mexico,Hidalgo
Xiezhou,China,Shanxi
Hameln,Germany,Lower Saxony
Apex,United States,North Carolina
Ambahikily,Madagascar,Toliara
Kawthoung,Myanmar,Tanintharyi
Meleuz,Russia,Bashkortostan
Khlong Luang,Thailand,Pathum Thani
Allanmyo,Myanmar,Magway
Samalkot,India,Andhra Pradesh
Zivinice,Bosnia and Herzegovina,"Bosnia and Herzegovina, Federation of"
Aleksin,Russia,Tul’skaya Oblast’
Berezovskiy,Russia,Sverdlovskaya Oblast’
Ping'an,China,Qinghai
Kalna,India,West Bengal
Naugaon Sadat,India,Uttar Pradesh
Qianwu,China,Guangdong
El Cerrito,Colombia,Valle del Cauca
Santa Maria,Philippines,Davao del Sur
Mogoditshane,Botswana,Kweneng
Kothapet,India,Andhra Pradesh
Keonjhargarh,India,Odisha
Ciudad Cuauhtemoc,Mexico,Veracruz
Bedzin,Poland,Śląskie
Tikhoretsk,Russia,Krasnodarskiy Kray
Grand-Popo,Benin,Mono
Unjha,India,Gujarat
Biala Podlaska,Poland,Lubelskie
Orito,Colombia,Putumayo
Jasaan,Philippines,Misamis Oriental
Qunghirot,Uzbekistan,Qoraqalpog‘iston
Minokamo,Japan,Gifu
Sira,India,Karnataka
Tiruvallur,India,Tamil Nadu
Macherla,India,Andhra Pradesh
Meerbusch,Germany,North Rhine-Westphalia
Campo Alegre,Brazil,Alagoas
Queen Creek,United States,Arizona
Pavlovo,Russia,Nizhegorodskaya Oblast’
Kandukur,India,Andhra Pradesh
Jerez de Garcia Salinas,Mexico,Zacatecas
Diriamba,Nicaragua,Carazo
Floriano,Brazil,Piaui
Krasnotur'insk,Russia,Sverdlovskaya Oblast’
Leander,United States,Texas
Salsk,Russia,Rostovskaya Oblast’
Monte Plata,Dominican Republic,Higuamo
Moknine,Tunisia,Monastir
Milagros,Philippines,Masbate
Bartlett,United States,Tennessee
Beni Enzar,Morocco,Oriental
St. Cloud,United States,Florida
Wiwili,Nicaragua,Nueva Segovia
Binalonan,Philippines,Pangasinan
Alangalang,Philippines,Leyte
Santiago Tuxtla,Mexico,Veracruz
Cosquin,Argentina,Cordoba
Nova Odessa,Brazil,Sao Paulo
Uson,Philippines,Masbate
Ponte Nova,Brazil,Minas Gerais
Kettering,United States,Ohio
Icara,Brazil,Santa Catarina
Buluan,Philippines,Maguindanao
Yanam,India,Andhra Pradesh
Foumbot,Cameroon,Ouest
Bail-Hongal,India,Karnataka
La Plata,Colombia,Huila
Hagonoy,Philippines,Davao del Sur
Cuvelai,Angola,Cunene
Gorlitz,Germany,Saxony
Uki,Japan,Kumamoto
Frankfurt (Oder),Germany,Brandenburg
Richards Bay,South Africa,KwaZulu-Natal
Kedzierzyn-Kozle,Poland,Opolskie
Sankt Augustin,Germany,North Rhine-Westphalia
Barwani,India,Madhya Pradesh
Sendhwa,India,Madhya Pradesh
Eldorado,Argentina,Misiones
M'diq,Morocco,Tanger-Tetouan-Al Hoceima
Stolberg,Germany,North Rhine-Westphalia
Coruripe,Brazil,Alagoas
Riosucio,Colombia,Choco
Sattenapalle,India,Andhra Pradesh
Bobbili,India,Andhra Pradesh
Ipele,Nigeria,Ondo
Irpin,Ukraine,Kyivska Oblast
Krymsk,Russia,Krasnodarskiy Kray
Parker,United States,Colorado
Andradina,Brazil,Sao Paulo
Kudamatsu,Japan,Yamaguchi
St. Peters,United States,Missouri
Huaixiangcun,China,Guangdong
Mora,Costa Rica,Heredia
Nova Esperanca,Angola,Uige
Azzaba,Algeria,Skikda
Nasirabad,India,Rajasthan
Bulungu,Congo (Kinshasa),Kwilu
Weymouth,United States,Massachusetts
Foligno,Italy,Umbria
Gudalur,India,Tamil Nadu
Shicun,China,Hebei
Sarapiqui,Costa Rica,Heredia
Talagante,Chile,Region Metropolitana
Vrindavan,India,Uttar Pradesh
Pacos de Ferreira,Portugal,Porto
Eschweiler,Germany,North Rhine-Westphalia
Borujen,Iran,Chahar MaHal va Bakhtiari
Kan'onjicho,Japan,Kagawa
Guaimaro,Cuba,Camaguey
Ribnita,Moldova,StInga Nistrului
Lunglei,India,Mizoram
Moramanga,Madagascar,Toamasina
Maricopa,United States,Arizona
Raxaul,India,Bihar
Dehdasht,Iran,Kohgiluyeh va Bowyer AHmad
Alvarado,Mexico,Veracruz
Manfredonia,Italy,Puglia
General Pico,Argentina,La Pampa
Langenhagen,Germany,Lower Saxony
Semara,Morocco,Laayoune-Sakia El Hamra
Lian,Philippines,Batangas
Bura,Somalia,Gedo
Neryungri,Russia,Sakha (Yakutiya)
Moreno,Brazil,Pernambuco
Chini,China,Guangdong
Tiwi,Philippines,Albay
Tama,Japan,Okayama
Oosterhout,Netherlands,Noord-Brabant
Puerto Boyaca,Colombia,Boyaca
Cuemba,Angola,Bie
Ramon,Philippines,Isabela
Gangarampur,India,West Bengal
San Pedro Sacatepequez,Guatemala,Guatemala
Poblacion,Philippines,Cebu
Den Helder,Netherlands,Noord-Holland
Paombong,Philippines,Bulacan
Bagheria,Italy,Sicilia
Talegaon Dabhade,India,Maharashtra
Verviers,Belgium,Wallonia
Kharar,India,Punjab
Lagonoy,Philippines,Camarines Sur
Acambay,Mexico,Mexico
Alcobaca,Portugal,Leiria
Nedumangad,India,Kerala
Waiblingen,Germany,Baden-Wurttemberg
Ixtahuacan,Guatemala,Huehuetenango
Jacunda,Brazil,Para
Linares,Spain,Andalusia
Basey,Philippines,Samar
Murakami,Japan,Niigata
Lenexa,United States,Kansas
Cuneo,Italy,Piedmont
Colomba,Guatemala,Quetzaltenango
Tilakpur,Nepal,
Tivoli,Italy,Lazio
Athieme,Benin,Mono
Highland,United States,California
Kandi,India,West Bengal
Viseu,Brazil,Para
Anjangaon,India,Maharashtra
Ar Riqqah,Kuwait,Al AHmadi
Pangantocan,Philippines,Bukidnon
Taquaritinga,Brazil,Sao Paulo
Mengla,China,Yunnan
Salgueiro,Brazil,Pernambuco
Cui'erzhuang,China,Hebei
Placer,Philippines,Masbate
Diglipur,India,Andaman and Nicobar Islands
Nogata,Japan,Fukuoka
Opava,Czechia,Moravskoslezský Kraj
Libungan,Philippines,Cotabato
Khash,Iran,Sistan va Baluchestan
Ajodhya,India,Uttar Pradesh
Manicore,Brazil,Amazonas
Taybad,Iran,Khorasan-e Raẕavi
Trani,Italy,Puglia
Kengri,India,Karnataka
Hohoe,Ghana,Volta
Bianyang,China,Guizhou
Bartolome Maso,Cuba,Granma
Tome-Acu,Brazil,Para
Mount Prospect,United States,Illinois
Lake Havasu City,United States,Arizona
Hassa,Turkey,Hatay
Magsaysay,Philippines,Davao del Sur
Kut-e `Abdollah,Iran,Khuzestan
Registro,Brazil,Sao Paulo
Belampalli,India,Andhra Pradesh
Amealco,Mexico,Queretaro
Amarante,Portugal,Porto
Shali,Russia,Chechnya
Ropar,India,Punjab
Periya Semur,India,Tamil Nadu
Winneba,Ghana,Central
Araci,Brazil,Bahia
Mota,Ethiopia,amara
Gulariya,Nepal,
Monte Alegre,Brazil,Para
Oke-Mesi,Nigeria,Ekiti
Pithoragarh,India,Uttarakhand
Zgierz,Poland,Lodzkie
Pila,Philippines,Laguna
Blainville,Canada,Quebec
Tursunzoda,Tajikistan,Nohiyahoi Tobei Jumhuri
Takizawa,Japan,Iwate
Finote Selam,Ethiopia,amara
Limoeiro do Norte,Brazil,Ceara
Xinqing,China,Heilongjiang
Bihac,Bosnia and Herzegovina,"Bosnia and Herzegovina, Federation of"
Frejus,France,Provence-Alpes-Cote d’Azur
Sarikei,Malaysia,Sarawak
San Andres Villa Seca,Guatemala,Retalhuleu
Diffun,Philippines,Quirino
Irati,Brazil,Parana
Urbiztondo,Philippines,Pangasinan
Xanthi,Greece,Anatoliki Makedonia kai Thraki
Zarrin Shahr,Iran,Esfahan
Antratsyt,Ukraine,Luhanska Oblast
Khan Shaykhun,Syria,Idlib
Longmen,China,Shaanxi
Acul du Nord,Haiti,Nord
Lozova,Ukraine,Kharkivska Oblast
Bisceglie,Italy,Puglia
Quezaltepeque,El Salvador,La Libertad
General Tinio,Philippines,Nueva Ecija
Nyenga,Uganda,Buikwe
Intibuca,Honduras,Intibuca
Rangewala,Pakistan,Punjab
Nawucun,China,Guangdong
Yongqing,China,Gansu
Viramgam,India,Gujarat
Frydek-Mistek,Czechia,Moravskoslezský Kraj
Union,United States,New York
Ambilobe,Madagascar,Antsiranana
Siliancun,China,Guangdong
Tinley Park,United States,Illinois
Bambang,Philippines,Nueva Vizcaya
Tsevie,Togo,Maritime
Boituva,Brazil,Sao Paulo
Baden-Baden,Germany,Baden-Wurttemberg
Portimao,Portugal,Faro
Lingen,Germany,Lower Saxony
Wangguanzhuang,China,Hebei
Volzhsk,Russia,Mariy-El
Hoogeveen,Netherlands,Drenthe
Changling,China,Jilin
Hidaka,Japan,Saitama
Toki,Japan,Gifu
Madhupur,India,Jharkhand
Catu,Brazil,Bahia
Parsippany-Troy Hills,United States,New Jersey
Xiva,Uzbekistan,Xorazm
Narbonne,France,Occitanie
Batac,Philippines,Ilocos Norte
Hashtgerd,Iran,Alborz
Jaru,Brazil,Rondonia
Gus'-Khrustal'nyy,Russia,Vladimirskaya Oblast’
Asadabad,Iran,Hamadan
Tucano,Brazil,Bahia
Xihu,Taiwan,Changhua
Atchampeta,India,Andhra Pradesh
Umm Ruwaba,Sudan,North Kordofan
Rengo,Chile,Libertador General Bernardo O’Higgins
La Roche-sur-Yon,France,Pays de la Loire
Ovar,Portugal,Aveiro
Tuyserkan,Iran,Hamadan
DeSoto,United States,Texas
Martin,Slovakia,Žilina
Apatity,Russia,Murmanskaya Oblast’
Azul,Argentina,Buenos Aires
Taua,Brazil,Ceara
Bhongir,India,Andhra Pradesh
Mulanay,Philippines,Quezon
Zile,Turkey,Tokat
Asturias,Philippines,Cebu
Narutocho-mitsuishi,Japan,Tokushima
San Agustin Acasaguastlan,Guatemala,El Progreso
Sacapulas,Guatemala,Quiche
Mercedes,Philippines,Camarines Norte
Limoeiro,Brazil,Pernambuco
Monte Mor,Brazil,Sao Paulo
Chicopee,United States,Massachusetts
Canterbury,United Kingdom,Kent
Namakkal,India,Tamil Nadu
Corby,United Kingdom,Northamptonshire
Ghatal,India,West Bengal
El Banco,Colombia,Magdalena
Kuala Kapuas,Indonesia,Kalimantan Tengah
Manapla,Philippines,Negros Occidental
Buthidaung,Myanmar,Rakhine State
Pulheim,Germany,North Rhine-Westphalia
Belen de Escobar,Argentina,Buenos Aires
Madison,United States,Alabama
Harpanahalli,India,Karnataka
Schweinfurt,Germany,Bavaria
Horizonte,Brazil,Ceara
Khorramdarreh,Iran,Zanjan
Villarrica,Chile,Araucania
Porirua,New Zealand,Wellington
West Haven,United States,Connecticut
Jaguaquara,Brazil,Bahia
San Remo,Italy,Liguria
Mangrol,India,Gujarat
PortoAlexandre,Angola,Namibe
Tonekabon,Iran,Mazandaran
Hyeres,France,Provence-Alpes-Cote d’Azur
Yamasa,Dominican Republic,Higuamo
Smyrna,United States,Georgia
Rolim de Moura,Brazil,Rondonia
Aurora,Canada,Ontario
Bitonto,Italy,Puglia
Ottappalam,India,Kerala
Wylie,United States,Texas
Barbalha,Brazil,Ceara
Taliwang,Indonesia,Nusa Tenggara Barat
Pallini,Greece,Attiki
Challakere,India,Karnataka
Vannes,France,Bretagne
Polur,India,Tamil Nadu
Puttur,India,Andhra Pradesh
Diamond Bar,United States,California
Songlindian,China,Hebei
San Isidro,Philippines,Nueva Ecija
Chonthrhu,India,Himachal Pradesh
Hattingen,Germany,North Rhine-Westphalia
Bad Homburg,Germany,Hesse
Pombal,Portugal,Leiria
Christchurch,United Kingdom,Dorset
Hervey Bay,Australia,Queensland
Islampur,India,West Bengal
Modica,Italy,Sicilia
Apple Valley,United States,Minnesota
Dompu,Indonesia,Nusa Tenggara Barat
Agbangnizoun,Benin,Zou
Chino,Japan,Nagano
Punganuru,India,Andhra Pradesh
Bavaro,Dominican Republic,Yuma
Juruti,Brazil,Para
Eqbaliyeh,Iran,Qazvin
Acipayam,Turkey,Denizli
Nandod,India,Gujarat
Konan,Japan,Shiga
Santa Cruz,Costa Rica,Guanacaste
Carigara,Philippines,Leyte
Funato,Japan,Wakayama
Zhushan,Taiwan,Nantou
Ucuma,Angola,Huambo
Santa Isabel,Brazil,Sao Paulo
Dikwella South,Sri Lanka,Southern
Oxchuc,Mexico,Chiapas
Ojok-tong,North Korea,P’yongbuk
Khurai,India,Madhya Pradesh
Ensenada,Argentina,Buenos Aires
Keighley,United Kingdom,Bradford
Estancia,Philippines,Iloilo
Bilis Qooqaani,Somalia,Jubbada Hoose
Huaishu,China,Hebei
Cajica,Colombia,Cundinamarca
Vicosa do Ceara,Brazil,Ceara
Pontevedra,Philippines,Negros Occidental
Porto Ferreira,Brazil,Sao Paulo
Indaial,Brazil,Santa Catarina
Alenquer,Brazil,Para
Sara,Philippines,Iloilo
Pinto,Spain,Madrid
Barreirinhas,Brazil,Maranhao
Liushi,China,Hebei
Baguanos,Cuba,Holguin
Bradenton,United States,Florida
Minamiuonuma,Japan,Niigata
Brookhaven,United States,Georgia
Sakurai,Japan,Nara
Santa Cruz,Philippines,Marinduque
Luquembo,Angola,Malanje
Wayne,United States,New Jersey
Kasaragod,India,Kerala
Sohna,India,Haryana
Mali,China,Yunnan
Hacienda Heights,United States,California
Sarpsborg,Norway,Viken
Barranqueras,Argentina,Chaco
Annaka,Japan,Gunma
Kampen,Netherlands,Overijssel
Cholet,France,Pays de la Loire
Manhattan,United States,Kansas
Xielu,China,Hebei
Tiruvalla,India,Kerala
Taquara,Brazil,Rio Grande do Sul
Terneuzen,Netherlands,Zeeland
Dandarah,Egypt,Qina
Chota,Peru,Cajamarca
Tigard,United States,Oregon
Monte Santo,Brazil,Bahia
Saruhanli,Turkey,Manisa
Samana,India,Punjab
Jinchang,China,Shanxi
Masinloc,Philippines,Zambales
Teramo,Italy,Abruzzo
San Manuel,Philippines,Pangasinan
Ostroleka,Poland,Mazowieckie
Bad Salzuflen,Germany,North Rhine-Westphalia
Sagar,India,Karnataka
Antanifotsy,Madagascar,Antananarivo
Rahuri,India,Maharashtra
Manjeri,India,Kerala
Kizilpinar,Turkey,Tekirdağ
Sidhi,India,Madhya Pradesh
Chenab Nagar,Pakistan,Punjab
Dayin,China,Hebei
Nihonmatsu,Japan,Fukushima
Trento,Philippines,Agusan del Sur
Cava de' Tirreni,Italy,Campania
Jalapa,Nicaragua,Nueva Segovia
Montesilvano,Italy,Abruzzo
Tapas,Philippines,Capiz
Mbulungu,Congo (Kinshasa),Kasai Central
Umm Qurun,Qatar,Ar Rayyan
Nordhorn,Germany,Lower Saxony
Sao Jose do Rio Pardo,Brazil,Sao Paulo
Shidong,China,Guangdong
Kotka,Finland,Kymenlaakso
Sabbashahr,Iran,Tehran
Cornillon,Haiti,Ouest
Qingan,China,Heilongjiang
Javanrud,Iran,Kermanshah
Palmaner,India,Andhra Pradesh
Huixtla,Mexico,Chiapas
Chaozhou,Taiwan,Pingtung
Parvatipuram,India,Andhra Pradesh
Minalabac,Philippines,Camarines Sur
Tlacotepec,Mexico,Puebla
Popesti-Leordeni,Romania,Ilfov
Sado,Japan,Niigata
Siena,Italy,Tuscany
El Rama,Nicaragua,Costa Caribe Sur
Piekary Slaskie,Poland,Śląskie
Jalor,India,Rajasthan
Kaliyaganj,India,West Bengal
Hanyu,Japan,Saitama
Cachoeiras de Macacu,Brazil,Rio de Janeiro
Bandar-e Torkaman,Iran,Golestan
Tarma,Peru,Junin
Yucaipa,United States,California
Bristol,United States,Pennsylvania
Zarafshon Shahri,Uzbekistan,Navoiy
Xingcheng,China,Hebei
Valle del Guamuez,Colombia,Putumayo
Vikarabad,India,Andhra Pradesh
Ruteng,Indonesia,Nusa Tenggara Timur
Manglaur,India,Uttarakhand
Hashtpar,Iran,Gilan
Ankadinondry-Sakay,Madagascar,Antananarivo
Daudnagar,India,Bihar
Rotorua,New Zealand,Bay of Plenty
Ixhuatlan de Madero,Mexico,Veracruz
Narva,Estonia,Narva
Peabody,United States,Massachusetts
Barra,Brazil,Bahia
Tokmok,Kyrgyzstan,Chuy
Mansala,India,Andhra Pradesh
Bir Ali Ben Khalifa,Tunisia,Sfax
Ban Om Noi,Thailand,Samut Sakhon
Zhigulevsk,Russia,Samarskaya Oblast’
Umred,India,Maharashtra
Titay,Philippines,Zamboanga Sibugay
Southaven,United States,Mississippi
Apopka,United States,Florida
Tagkawayan,Philippines,Quezon
Cheddra,Chad,Barh-El-Gazel
Acara,Brazil,Para
Baduria,India,West Bengal
Juanjui,Peru,San Martin
Avellino,Italy,Campania
Sultanganj,India,Bihar
Dholka,India,Gujarat
Goalpara,India,Assam
Cuenca,Spain,Castille-La Mancha
Puerto Libertador,Colombia,Cordoba
Horizon West,United States,Florida
Cabagan,Philippines,Isabela
Millcreek,United States,Pennsylvania
Ghoriyan,Afghanistan,Herat
Chilibre,Panama,Panama
New Plymouth,New Zealand,Taranaki
Patancheruvu,India,Andhra Pradesh
Chystiakove,Ukraine,Donetska Oblast
Ashta,India,Madhya Pradesh
Tuni,India,Andhra Pradesh
Severn,United States,Maryland
Liski,Russia,Voronezhskaya Oblast’
Neustadt,Germany,Rhineland-Palatinate
Markala,Mali,Segou
Tres Pontas,Brazil,Minas Gerais
An Nimas,Saudi Arabia,‘Asir
Jaggayyapeta,India,Andhra Pradesh
Chenaran,Iran,Khorasan-e Raẕavi
Svobodnyy,Russia,Amurskaya Oblast’
Salo,Finland,Varsinais-Suomi
Impasugong,Philippines,Bukidnon
A Yun Pa,Vietnam,Gia Lai
Bacaadweyn,Somalia,Mudug
Santo Domingo,Cuba,Villa Clara
Colton,United States,California
Bijar,Iran,Kordestan
Kentwood,United States,Michigan
Magpet,Philippines,Cotabato
Kitaotao,Philippines,Bukidnon
Passau,Germany,Bavaria
Zongo,Congo (Kinshasa),Sud-Ubangi
Sao Francisco do Sul,Brazil,Santa Catarina
Sao Francisco,Brazil,Minas Gerais
Hamada,Japan,Shimane
Zaragoza,Philippines,Nueva Ecija
Sibonga,Philippines,Cebu
Pasacao,Philippines,Camarines Sur
Minnetonka,United States,Minnesota
Kongoussi,Burkina Faso,Centre-Nord
Ajuy,Philippines,Iloilo
Wheaton,United States,Illinois
Huesca,Spain,Aragon
Cangola,Angola,Uige
Port Shepstone,South Africa,KwaZulu-Natal
Devakottai,India,Tamil Nadu
Elda,Spain,Valencia
Marco de Canavezes,Portugal,Porto
Dauis,Philippines,Bohol
Tilhar,India,Uttar Pradesh
Krasnokamsk,Russia,Permskiy Kray
Upata,Venezuela,Bolivar
Colmenar Viejo,Spain,Madrid
Al Majaridah,Saudi Arabia,‘Asir
Wetzlar,Germany,Hesse
Guiuan,Philippines,Eastern Samar
Velletri,Italy,Lazio
Enerhodar,Ukraine,Zaporizka Oblast
Frechen,Germany,North Rhine-Westphalia
Shahpur,India,Karnataka
Zhangjiazhuang,China,Hebei
Cambundi Catembo,Angola,Malanje
Encarnacion de Diaz,Mexico,Jalisco
West Sacramento,United States,California
Anzio,Italy,Lazio
Naka,Japan,Ibaraki
Acireale,Italy,Sicilia
Dongshan,Taiwan,Yilan
Lakhminia,India,Bihar
Morondava,Madagascar,Toliara
Lucban,Philippines,Quezon
Porto Feliz,Brazil,Sao Paulo
Frutal,Brazil,Minas Gerais
Casa Grande,United States,Arizona
Thermi,Greece,Kentriki Makedonia
Gudermes,Russia,Chechnya
Guernica,Argentina,Buenos Aires
Pirapora,Brazil,Minas Gerais
San Manuel,Honduras,Cortes
Rumia,Poland,Pomorskie
Yangmei,China,Guangdong
Dangila,Ethiopia,amara
Mutsu,Japan,Aomori
Barbosa,Colombia,Antioquia
Xincheng,China,Shanxi
Normal,United States,Illinois
Olimpia,Brazil,Sao Paulo
Santo Estevao,Brazil,Bahia
Pryluky,Ukraine,Chernihivska Oblast
Puttur,India,Karnataka
Barobo,Philippines,Surigao del Sur
Molave,Philippines,Zamboanga del Sur
Vertientes,Cuba,Camaguey
Yaozhuangcun,China,Zhejiang
Capivari,Brazil,Sao Paulo
Sao Bento do Una,Brazil,Pernambuco
Buenavista,Philippines,Iloilo
Howell,United States,New Jersey
San Jacinto,United States,California
Aurora,Philippines,Zamboanga del Sur
Akbou,Algeria,Bejaia
Tame,Colombia,Arauca
Cangucu,Brazil,Rio Grande do Sul
Irinjalakuda,India,Kerala
Acu,Brazil,Rio Grande do Norte
Karlovac,Croatia,Karlovačka Županija
Vyksa,Russia,Nizhegorodskaya Oblast’
Woerden,Netherlands,Utrecht
Kalamata,Greece,Peloponnisos
Asuncion Mita,Guatemala,Jutiapa
San Bartolome,Spain,Canary Islands
Novato,United States,California
Mladenovac,Serbia,Beograd
Leopoldina,Brazil,Minas Gerais
San Severo,Italy,Puglia
Acopiara,Brazil,Ceara
Sagua la Grande,Cuba,Villa Clara
Hamtic,Philippines,Antique
Mandi Dabwali,India,Haryana
Pasaje,Ecuador,El Oro
Pinellas Park,United States,Florida
La Ceja,Colombia,Antioquia
Simojovel de Allende,Mexico,Chiapas
Padre Garcia,Philippines,Batangas
Roskilde,Denmark,Sjælland
Galveston,United States,Texas
Edina,United States,Minnesota
Ahlen,Germany,North Rhine-Westphalia
Arsenyev,Russia,Primorskiy Kray
Panjakent,Tajikistan,Sughd
Kleve,Germany,North Rhine-Westphalia
San Estanislao,Paraguay,San Pedro
Venkatagiri,India,Andhra Pradesh
Kelaa Kebira,Tunisia,Sousse
Neibu,Taiwan,Pingtung
Hyosha,Congo (Kinshasa),Nord-Kivu
`Aliabad-e Katul,Iran,Golestan
Jiaganj,India,West Bengal
Sihor,India,Gujarat
Sison,Philippines,Pangasinan
Mafra,Brazil,Santa Catarina
Lorica,Colombia,Cordoba
Lower Paxton,United States,Pennsylvania
Chone,Ecuador,Manabi
Tomiya,Japan,Miyagi
Imaricho-ko,Japan,Saga
Bani,Philippines,Pangasinan
Jangaon,India,Andhra Pradesh
Usa,Japan,Oita
Kobryn,Belarus,Brestskaya Voblasts’
Koraput,India,Odisha
Herriman,United States,Utah
Mongagua,Brazil,Sao Paulo
Clorinda,Argentina,Formosa
Elyria,United States,Ohio
San Joaquin,Philippines,Iloilo
Wolfenbuttel,Germany,Lower Saxony
Poprad,Slovakia,Prešov
Krasnokamensk,Russia,Zabaykal’skiy Kray
Tutoia,Brazil,Maranhao
Canoinhas,Brazil,Santa Catarina
Uniao da Vitoria,Brazil,Parana
San Jose Villa de Allende,Mexico,Mexico
Malkara,Turkey,Tekirdağ
Capitao Poco,Brazil,Para
Fatwa,India,Bihar
Granadilla de Abona,Spain,Canary Islands
El Tumbador,Guatemala,San Marcos
Grand Island,United States,Nebraska
Minami-Soma,Japan,Fukushima
Thongwa,Myanmar,Yangon
San Miguel Ixtahuacan,Guatemala,San Marcos
Huaiyang,China,Hebei
Bargny,Senegal,Dakar
Alesund,Norway,Møre og Romsdal
Burauen,Philippines,Leyte
Piaseczno,Poland,Mazowieckie
Ibajay,Philippines,Aklan
Naguilian,Philippines,La Union
Torrelavega,Spain,Cantabria
Jiyyammavalasa,India,Andhra Pradesh
Sironj,India,Madhya Pradesh
Granja,Brazil,Ceara
Kahnuj,Iran,Kerman
An Nabk,Syria,Rif Dimashq
Miyakojima,Japan,Okinawa
Bato,Philippines,Camarines Sur
Horishni Plavni,Ukraine,Poltavska Oblast
Bad Kreuznach,Germany,Rhineland-Palatinate
Pacora,Panama,Panama
Mandamari,India,Andhra Pradesh
Sertolovo,Russia,Leningradskaya Oblast’
President Roxas,Philippines,Cotabato
Baskale,Turkey,Van
Lacey,United States,Washington
Claveria,Philippines,Misamis Oriental
Qabqa,China,Qinghai
Bentonville,United States,Arkansas
Caetite,Brazil,Bahia
Cihanbeyli,Turkey,Konya
Methuen Town,United States,Massachusetts
Victoria,Philippines,Oriental Mindoro
Vyazma,Russia,Smolenskaya Oblast’
Alaminos,Philippines,Laguna
Boa Viagem,Brazil,Ceara
Tamboril,Dominican Republic,Cibao Norte
Diu,India,Dadra and Nagar Haveli and Daman and Diu
Bikramganj,India,Bihar
Phaltan,India,Maharashtra
Pordenone,Italy,Friuli Venezia Giulia
Glendora,United States,California
Tekkekoy,Turkey,Samsun
Marechal Deodoro,Brazil,Alagoas
Rincon de la Victoria,Spain,Andalusia
Smyrna,United States,Tennessee
Sape,Brazil,Paraiba
Girardota,Colombia,Antioquia
Florissant,United States,Missouri
Ibbenburen,Germany,North Rhine-Westphalia
Ambohibary,Madagascar,Antananarivo
Navirai,Brazil,Mato Grosso do Sul
Taxco de Alarcon,Mexico,Guerrero
Leon,Philippines,Iloilo
Stratford,United States,Connecticut
Delmiro Gouveia,Brazil,Alagoas
Roman,Romania,NeamT
Plaisance,Haiti,Nord
Villareal,Spain,Valencia
Civitavecchia,Italy,Lazio
Welland,Canada,Ontario
Khurda,India,Odisha
Basankusu,Congo (Kinshasa),equateur
Novovolynsk,Ukraine,Volynska Oblast
Cangandala,Angola,Malanje
Delano,United States,California
Thomazeau,Haiti,Ouest
Abdul Hakim,Pakistan,Punjab
Cruz del Eje,Argentina,Cordoba
Portel,Brazil,Para
Kannapolis,United States,North Carolina
Burla,India,Odisha
Belorechensk,Russia,Krasnodarskiy Kray
Hoffman Estates,United States,Illinois
Buique,Brazil,Pernambuco
Tundla,India,Uttar Pradesh
Chajul,Guatemala,Quiche
Belle-Anse,Haiti,Sud-Est
Santa Eulalia,Guatemala,Huehuetenango
Sagua de Tanamo,Cuba,Holguin
Ampanihy,Madagascar,Toliara
Yendi,Ghana,Northern
Beaumont,United States,California
Gadarwara,India,Madhya Pradesh
Albu Kamal,Syria,Dayr az Zawr
Wangjiazhai,China,Guizhou
Izumi,Japan,Kagoshima
Bar Bigha,India,Bihar
San Onofre,Colombia,Sucre
Trinidad,Cuba,Sancti Spiritus
Pola de Siero,Spain,Asturias
Khattan,India,Jammu and Kashmir
Zangareddigudem,India,Andhra Pradesh
Dungu,Congo (Kinshasa),Haut-Uele
Kalpi,India,Uttar Pradesh
Ad Dabbah,Sudan,Northern
Mabini,Philippines,Batangas
Timashevsk,Russia,Krasnodarskiy Kray
Calvia,Spain,Balearic Islands
Eilat,Israel,Southern
Kandangan,Indonesia,Kalimantan Selatan
Peranampattu,India,Tamil Nadu
Santa Ignacia,Philippines,Tarlac
Parobe,Brazil,Rio Grande do Sul
Metpalli,India,Andhra Pradesh
Ntoum,Gabon,Estuaire
Raciborz,Poland,Śląskie
Anaiyur,India,Tamil Nadu
Caldas da Rainha,Portugal,Leiria
Bando,Japan,Ibaraki
Caramoan,Philippines,Camarines Sur
El Bagre,Colombia,Antioquia
Battipaglia,Italy,Campania
Cardona,Philippines,Rizal
Covilha,Portugal,Castelo Branco
Aguadulce,Panama,Cocle
Forbesganj,India,Bihar
Livingston,United Kingdom,West Lothian
Cathedral City,United States,California
Shimencun,China,Zhejiang
Itupiranga,Brazil,Para
Mulongo,Congo (Kinshasa),Haut-Lomami
Huazangsi,China,Gansu
Tsukubamirai,Japan,Ibaraki
Karvina,Czechia,Moravskoslezský Kraj
Incirliova,Turkey,Aydın
Boblingen,Germany,Baden-Wurttemberg
Maubin,Myanmar,Ayeyarwady
Speyer,Germany,Rhineland-Palatinate
Isfara,Tajikistan,Sughd
Solnechnogorsk,Russia,Moskovskaya Oblast’
Baham,Cameroon,Ouest
Caleta Olivia,Argentina,Santa Cruz
Mazara del Vallo,Italy,Sicilia
Tulsipur,Nepal,
Jaspur,India,Uttarakhand
Gummersbach,Germany,North Rhine-Westphalia
El Talar de Pacheco,Argentina,Buenos Aires
Bowringpet,India,Karnataka
Burien,United States,Washington
Marigot,Haiti,Sud-Est
Campo Belo,Brazil,Minas Gerais
